date,close,open,high,low,volume,%
2021/7/13,"17,847.52","17,931.47","18,018.04","17,786.76",8.91B,0.19%
2021/7/12,"17,814.33","17,843.30","17,947.90","17,759.90",6.90B,0.87%
2021/7/9,"17,661.48","17,778.12","17,778.12","17,597.46",6.57B,-1.15%
2021/7/8,"17,866.09","17,880.90","17,935.11","17,742.08",8.08B,0.09%
2021/7/7,"17,850.69","17,901.25","17,933.62","17,756.82",6.89B,-0.35%
2021/7/6,"17,913.07","17,929.22","18,008.37","17,895.78",6.63B,-0.03%
2021/7/5,"17,919.33","17,783.80","17,945.52","17,783.80",7.43B,1.18%
2021/7/2,"17,710.15","17,745.69","17,795.88","17,676.98",8.97B,-0.02%
2021/7/1,"17,713.94","17,801.19","17,863.90","17,644.36",9.65B,-0.23%
2021/6/30,"17,755.46","17,648.25","17,797.27","17,648.25",7.98B,0.89%
2021/6/29,"17,598.19","17,621.15","17,713.24","17,541.14",8.44B,0.04%
2021/6/28,"17,590.97","17,531.82","17,595.51","17,481.23",7.09B,0.50%
2021/6/25,"17,502.99","17,471.07","17,597.33","17,471.07",6.77B,0.55%
2021/6/24,"17,407.96","17,358.57","17,439.63","17,319.89",6.45B,0.41%
2021/6/23,"17,336.71","17,127.59","17,375.79","17,127.59",8.08B,1.53%
2021/6/22,"17,075.55","17,162.71","17,270.47","17,075.55",8.92B,0.07%
2021/6/21,"17,062.98","17,305.49","17,305.49","17,023.31",7.50B,-1.48%
2021/6/18,"17,318.54","17,384.74","17,417.50","17,318.54",7.98B,-0.41%
2021/6/17,"17,390.61","17,254.84","17,390.61","17,150.52",6.40B,0.48%
2021/6/16,"17,307.86","17,357.37","17,398.22","17,275.02",7.96B,-0.37%
2021/6/15,"17,371.29","17,279.70","17,371.29","17,279.70",6.32B,0.92%
2021/6/11,"17,213.52","17,200.45","17,278.55","17,193.61",6.15B,0.32%
2021/6/10,"17,159.22","17,024.54","17,159.22","16,978.01",6.58B,1.14%
2021/6/9,"16,966.22","17,082.52","17,082.52","16,907.43",6.31B,-0.64%
